Info 0    [18:15:10.719] Starting TS Server
Info 123  [18:20:32.807] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false Elapsed: 2ms
Info 124  [18:20:32.807] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 125  [18:20:33.710] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 126  [18:20:33.713] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false Elapsed: 3ms
Info 127  [18:20:33.713] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 128  [18:20:33.997] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 129  [18:20:33.999] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false Elapsed: 2ms
Info 130  [18:20:33.999] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 131  [18:20:34.297] getCompletionData: Get current token: 0
Info 132  [18:20:34.297] getCompletionData: Is inside comment: 0
Info 133  [18:20:34.297] getCompletionData: Get previous token 1: 0
Info 134  [18:20:34.297] getCompletionData: Get previous token 2: 0
Info 135  [18:20:34.297] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 136  [18:20:34.298] getCompletionData: Semantic work: 1
Info 137  [18:20:34.313] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 15
Info 138  [18:20:35.0] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 139  [18:20:35.1] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false Elapsed: 1ms
Info 140  [18:20:35.1] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 141  [18:20:35.821] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 142  [18:20:35.822] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: false Elapsed: 1ms
Info 143  [18:20:35.822] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 144  [18:20:36.470] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 145  [18:20:36.473] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: false Elapsed: 3ms
Info 146  [18:20:36.473] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 147  [18:20:36.744] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 148  [18:20:36.745] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: false Elapsed: 1ms
Info 149  [18:20:36.745] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 150  [18:20:36.880] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 151  [18:20:36.881] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 39 structureChanged: false Elapsed: 1ms
Info 152  [18:20:36.881] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 153  [18:20:36.882] getCompletionData: Get current token: 0
Info 154  [18:20:36.882] getCompletionData: Is inside comment: 0
Info 155  [18:20:36.882] getCompletionData: Get previous token 1: 0
Info 156  [18:20:36.882] getCompletionData: Get previous token 2: 0
Info 157  [18:20:36.882] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 158  [18:20:36.883] getCompletionData: Semantic work: 1
Info 159  [18:20:37.526] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 160  [18:20:37.527] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 40 structureChanged: false Elapsed: 1ms
Info 161  [18:20:37.527] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 162  [18:20:37.758] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 163  [18:20:37.760] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 41 structureChanged: false Elapsed: 2ms
Info 164  [18:20:37.760] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 165  [18:20:38.511] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 166  [18:20:38.513] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 42 structureChanged: false Elapsed: 2ms
